,Station Count,Total Docks
2015-05,50,906.0
2015-06,50,906.0
2015-07,50,906.0
2015-08,50,906.0
2015-09,50,906.0
2015-10,50,906.0
2015-11,50,906.0
2015-12,50,906.0
2016-01,50,906.0
2016-02,50,906.0
2016-03,50,906.0
2016-04,50,906.0
2016-05,50,906.0
2016-06,50,906.0
2016-07,50,906.0
2016-08,50,906.0
2016-09,50,906.0
2016-10,50,906.0
2016-11,50,906.0
2016-12,50,906.0
2017-01,52,906.0
2017-02,52,906.0
2017-03,52,906.0
2017-04,52,906.0
2017-05,52,906.0
2017-06,52,906.0
2017-07,52,906.0
2017-08,52,906.0
2017-09,52,906.0
2017-10,52,906.0
2017-11,52,906.0
2017-12,52,906.0
2018-01,52,906.0
2018-02,52,906.0
2018-03,52,906.0
2018-04,52,906.0
2018-05,52,906.0
2018-06,52,906.0
2018-07,52,906.0
2018-08,52,906.0
2018-09,52,906.0
2018-10,105,1109.0
2018-11,105,1109.0
2018-12,105,1109.0
2019-01,108,1125.0
2019-02,108,1125.0
2019-03,108,1125.0
2019-04,112,1154.0
2019-05,112,1154.0
2019-06,112,1154.0
2019-07,113,1170.0
2019-08,113,1170.0
2019-09,113,1170.0
2019-10,100,1085.0
2019-11,100,1085.0
2019-12,100,1085.0
2020-01,100,1085.0
2020-02,100,1085.0
2020-03,100,1085.0
2020-04,100,1085.0
2020-05,100,1085.0
2020-06,100,1085.0
2020-07,100,1085.0
2020-08,100,1085.0
2020-09,100,1085.0
2020-10,100,1085.0
2020-11,100,1085.0
2020-12,100,1085.0
2021-01,100,1085.0
2021-02,100,1085.0
2021-03,100,1085.0
2021-04,117,1173.0
2021-05,117,1173.0
2021-06,117,1173.0
2021-07,105,1114.0
2021-08,105,1114.0
2021-09,105,1114.0
2021-10,76,891.0
2021-11,76,891.0
2021-12,76,891.0
2022-01,76,891.0
2022-02,76,891.0
2022-03,76,891.0
2022-04,76,891.0
2022-05,37,598.0
2022-06,37,598.0
2022-07,37,598.0
2022-08,37,598.0
2022-09,37,598.0
2022-10,37,598.0
2022-11,37,598.0
2022-12,37,598.0
2023-01,37,598.0
2023-02,37,598.0
2023-03,37,598.0
2023-04,37,598.0
2023-05,37,598.0
2023-06,42,693.0
2023-07,60,1056.0
2023-08,60,1052.0
2023-09,60,1052.0
